Student ID,Student Name,Class,Section,Term,Maths,Science,Social Science,English,Hindi,Marks Score,Total Marks,Percentage,Result
S483,Tova Peyro,4,B,Term 2,42,41,43,88,58,272,500,54.4,Pass
S839,Gearalt Stoneman,12,A,Term 2,43,18,50,91,67,269,500,53.8,Pass
S375,Daisy Stormes,1,A,Term 1,93,28,49,52,27,249,500,49.8,Pass
S347,Rhodie Daffern,9,A,Term 1,87,46,19,87,44,283,500,56.6,Pass
S810,Mitchel Clemow,9,A,Term 1,96,30,50,66,65,307,500,61.4,Pass
S850,Killy McKerlie,5,B,Term 1,60,18,54,42,40,214,500,42.8,Pass
S634,Salomone Munnion,8,A,Term 1,49,73,79,27,76,304,500,60.8,Pass
S819,Renae Turmall,1,B,Term 2,72,40,24,34,75,245,500,49,Pass
S970,Abbot Cohr,9,B,Term 2,96,38,98,49,61,342,500,68.4,Pass
S556,Diandra Northing,1,A,Term 1,26,54,56,45,87,268,500,53.6,Pass
S741,Vannie Potapczuk,3,A,Term 2,50,87,94,85,31,347,500,69.4,Pass
S898,Merrick Espasa,10,B,Term 1,44,47,60,95,71,317,500,63.4,Pass
S430,Toby Tarquinio,6,B,Term 2,38,41,55,92,59,285,500,57,Pass
S988,Merrile Seefus,10,A,Term 1,68,44,61,21,32,226,500,45.2,Pass
S624,Carol-jean Couche,8,A,Term 1,57,35,26,88,65,271,500,54.2,Pass
S366,Papagena Tyer,12,B,Term 1,59,72,48,36,91,306,500,61.2,Pass
S841,Linnell Brack,1,B,Term 2,83,61,65,58,63,330,500,66,Pass
S408,Lyman Horbath,6,A,Term 2,89,31,57,55,80,312,500,62.4,Pass
S905,Nichol Looby,9,B,Term 1,82,78,58,71,52,341,500,68.2,Pass
S564,Sigrid Aitkenhead,3,B,Term 2,19,50,56,41,29,195,500,39,Pass
S768,Derwin Kirk,11,A,Term 2,16,69,89,77,55,306,500,61.2,Pass
S202,Tobey Cordoba,9,B,Term 2,74,25,97,32,69,297,500,59.4,Pass
S365,Elbertine Toseland,1,B,Term 1,41,61,63,69,42,276,500,55.2,Pass
S522,Elisabeth Savaage,6,A,Term 1,17,26,67,97,53,260,500,52,Pass
S848,Asa Boodell,5,A,Term 2,91,89,55,58,57,350,500,70,Pass
S749,Candace Gingedale,4,B,Term 2,34,77,98,37,67,313,500,62.6,Pass
S304,Birch Roset,9,A,Term 1,25,79,70,93,57,324,500,64.8,Pass
S930,Elka Uvedale,10,A,Term 2,51,66,85,23,36,261,500,52.2,Pass
S819,Nikki Mattis,12,A,Term 2,28,95,92,87,52,354,500,70.8,Pass
S625,Kaila Postill,1,A,Term 2,21,48,85,36,37,227,500,45.4,Pass
S799,Leeanne Groucutt,5,B,Term 1,55,78,87,92,80,392,500,78.4,Pass
S486,Yoshiko Spata,9,B,Term 2,49,52,36,35,93,265,500,53,Pass
S452,Tiffy Shallcross,6,B,Term 2,44,72,76,95,81,368,500,73.6,Pass
S833,Angeli Death,5,A,Term 2,21,18,61,68,95,263,500,52.6,Pass
S453,Temp Korneluk,3,B,Term 1,39,31,65,66,63,264,500,52.8,Pass
S987,Maxy MacKibbon,4,A,Term 1,69,14,30,36,70,219,500,43.8,Pass
S793,Merrile Pumfrett,11,B,Term 2,45,51,22,89,79,286,500,57.2,Pass
S552,Stephanie Hallaways,3,B,Term 1,72,90,41,91,63,357,500,71.4,Pass
S201,Fidel Rubinchik,8,B,Term 2,31,39,32,58,62,222,500,44.4,Pass
S969,Arney Kemster,11,B,Term 2,67,21,87,77,34,286,500,57.2,Pass
S108,Tracy Charrington,10,B,Term 1,25,82,41,48,48,244,500,48.8,Pass
S338,Gayle Ledwith,10,B,Term 1,77,86,94,29,68,354,500,70.8,Pass
S716,Ursola Vossing,3,B,Term 1,82,16,29,86,41,254,500,50.8,Pass
S145,Cori Camies,2,B,Term 2,68,13,82,63,93,319,500,63.8,Pass
S728,Gusella Van Arsdale,6,A,Term 1,89,52,55,94,79,369,500,73.8,Pass
S075,Rod Nesterov,1,B,Term 2,43,19,63,67,30,222,500,44.4,Pass
S092,Reagan Harkin,3,B,Term 2,90,64,96,24,32,306,500,61.2,Pass
S074,Paloma Aggas,10,B,Term 2,89,20,58,38,86,291,500,58.2,Pass
S526,Carma Paulin,8,B,Term 1,29,84,64,91,32,300,500,60,Pass
S483,Rivkah Kidstone,5,B,Term 1,46,70,60,53,90,319,500,63.8,Pass
S051,Fawn Ouldcott,8,B,Term 1,32,46,35,87,35,235,500,47,Pass
S330,Ardelle Macauley,9,B,Term 2,19,90,35,81,29,254,500,50.8,Pass
S220,Sophronia Gullifant,9,A,Term 1,66,27,85,76,52,306,500,61.2,Pass
S935,Danya Tolley,11,B,Term 1,15,78,21,20,45,179,500,35.8,Pass
S687,Burtie Cammacke,10,A,Term 2,35,48,25,55,89,252,500,50.4,Pass
S697,Jeno Theobalds,4,B,Term 2,83,54,75,79,67,358,500,71.6,Pass
S296,Jard Niset,5,A,Term 1,38,24,99,53,32,246,500,49.2,Pass
S410,Dmitri Cosin,11,A,Term 2,24,51,64,40,32,211,500,42.2,Pass
S203,Robinetta Witcomb,6,A,Term 1,48,23,62,57,81,271,500,54.2,Pass
S643,Jemimah Greiser,5,B,Term 1,52,18,45,43,69,227,500,45.4,Pass
S201,Leon Spall,8,B,Term 2,38,75,54,81,71,319,500,63.8,Pass
S212,Nikaniki Dugdale,3,B,Term 2,77,64,82,61,53,337,500,67.4,Pass
S315,Everard Coggill,6,A,Term 1,59,76,55,76,39,305,500,61,Pass
S466,Katti Plowman,3,A,Term 2,58,33,52,49,25,217,500,43.4,Pass
S880,Heath Cormode,3,B,Term 1,27,70,71,47,65,280,500,56,Pass
S325,Brig Phillipson,8,A,Term 2,25,73,64,93,87,342,500,68.4,Pass
S223,Melissa Kulic,7,A,Term 1,75,73,28,29,33,238,500,47.6,Pass
S555,Gert Eymer,10,A,Term 2,34,52,70,57,60,273,500,54.6,Pass
S770,Mariana Hambleton,1,A,Term 1,90,34,90,37,23,274,500,54.8,Pass
S744,Dunn Ettery,4,B,Term 1,59,61,93,41,49,303,500,60.6,Pass
S857,Grayce Riquet,4,B,Term 1,72,16,96,86,82,352,500,70.4,Pass
S862,Magdalena Loveless,7,B,Term 2,96,93,50,89,52,380,500,76,Pass
S000,Ava Tansly,11,B,Term 1,74,21,26,59,53,233,500,46.6,Pass
S363,Carley Wardington,2,A,Term 1,14,70,76,45,86,291,500,58.2,Pass
